 infinitive  | type | auxiliary_verb | regular_passato_prossimo 
-------------+------+----------------+--------------------------
 abitare     | are  | avere          | t
 aiutare     | are  | avere          | t
 amare       | are  | avere          | t
 andare      | are  | essere         | t
 arrivare    | are  | essere         | t
 ascoltare   | are  | avere          | t
 aspettare   | are  | avere          | t
 cambiare    | are  | avere          | t
 camminare   | are  | avere          | t
 cantare     | are  | avere          | t
 cercare     | are  | avere          | t
 chiamare    | are  | avere          | t
 cominciare  | are  | avere          | t
 comprare    | are  | avere          | t
 cucinare    | are  | avere          | t
 dare        | are  | avere          | t
 dimenticare | are  | avere          | t
 entrare     | are  | essere         | t
 giocare     | are  | avere          | t
 guardare    | are  | avere          | t
 imparare    | are  | avere          | t
 incontrare  | are  | avere          | t
 insegnare   | are  | avere          | t
 lasciare    | are  | avere          | t
 lavorare    | are  | avere          | t
 mandare     | are  | avere          | t
 mangiare    | are  | avere          | t
 ordinare    | are  | avere          | t
 pagare      | are  | avere          | t
 parlare     | are  | avere          | t
 passare     | are  | avere          | t
 pensare     | are  | avere          | t
 portare     | are  | avere          | t
 preparare   | are  | avere          | t
 provare     | are  | avere          | t
 ricordare   | are  | avere          | t
 stare       | are  | essere         | t
 studiare    | are  | avere          | t
 suonare     | are  | avere          | t
 tornare     | are  | essere         | t
 trovare     | are  | avere          | t
 usare       | are  | avere          | t
 viaggiare   | are  | avere          | t
 avere       | ere  | avere          | f
 chiedere    | ere  | avere          | f
 conoscere   | ere  | avere          | f
 correre     | ere  | essere         | f
 credere     | ere  | avere          | t
 crescere    | ere  | essere         | f
 decidere    | ere  | avere          | f
 essere      | ere  | essere         | f
 fare        | ere  | avere          | f
 leggere     | ere  | avere          | f
 mettere     | ere  | avere          | f
 perdere     | ere  | avere          | f
 prendere    | ere  | avere          | f
 ricevere    | ere  | avere          | t
 rimanere    | ere  | essere         | f
 rispondere  | ere  | avere          | f
 sapere      | ere  | avere          | t
 scrivere    | ere  | avere          | f
 vendere     | ere  | avere          | t
 vivere      | ere  | essere         | f
 aprire      | ire  | avere          | f
 assalire    | ire  | avere          | t
 bollire     | ire  | avere          | t
 conseguire  | ire  | avere          | t
 convertire  | ire  | avere          | t
 coprire     | ire  | avere          | f
 costituire  | ire  | avere          | t
 dire        | ire  | avere          | t
 dormire     | ire  | avere          | t
 fuggire     | ire  | essere         | t
 inseguire   | ire  | avere          | t
 inserire    | ire  | avere          | t
 mentire     | ire  | avere          | t
 nutrire     | ire  | avere          | t
 offrire     | ire  | avere          | f
 partire     | ire  | essere         | t
 restituire  | ire  | avere          | t
 salire      | ire  | essere         | t
 scoprire    | ire  | avere          | f
 seguire     | ire  | avere          | t
 sentire     | ire  | avere          | t
 servire     | ire  | avere          | t
 soffrire    | ire  | avere          | f
 uscire      | ire  | essere         | t
 venire      | ire  | essere         | t
 vestire     | ire  | avere          | t
(89 rows)

