 infinitive  | type | auxiliary_verb 
-------------+------+----------------
 abitare     | are  | avere
 aiutare     | are  | avere
 amare       | are  | avere
 arrivare    | are  | essere
 ascoltare   | are  | avere
 aspettare   | are  | avere
 cambiare    | are  | avere
 camminare   | are  | avere
 cantare     | are  | avere
 chiamare    | are  | avere
 cominciare  | are  | avere
 comprare    | are  | avere
 cucinare    | are  | avere
 dimenticare | are  | avere
 entrare     | are  | essere
 giocare     | are  | avere
 guardare    | are  | avere
 imparare    | are  | avere
 incontrare  | are  | avere
 insegnare   | are  | avere
 lasciare    | are  | avere
 lavorare    | are  | avere
 mandare     | are  | avere
 mangiare    | are  | avere
 ordinare    | are  | avere
 pagare      | are  | avere
 parlare     | are  | avere
 passare     | are  | avere
 pensare     | are  | avere
 portare     | are  | avere
 preparare   | are  | avere
 provare     | are  | avere
 ricordare   | are  | avere
 studiare    | are  | avere
 suonare     | are  | avere
 tornare     | are  | essere
 trovare     | are  | avere
 usare       | are  | avere
 viaggiare   | are  | avere
 chiedere    | ere  | avere
 conoscere   | ere  | avere
 correre     | ere  | essere
 credere     | ere  | avere
 crescere    | ere  | essere
 decidere    | ere  | avere
 mettere     | ere  | avere
 perdere     | ere  | avere
 prendere    | ere  | avere
 ricevere    | ere  | avere
 rispondere  | ere  | avere
 scrivere    | ere  | avere
 vendere     | ere  | avere
 vivere      | ere  | essere
 aprire      | ire  | avere
 assalire    | ire  | avere
 bollire     | ire  | avere
 conseguire  | ire  | avere
 convertire  | ire  | avere
 coprire     | ire  | avere
 costituire  | ire  | avere
 dormire     | ire  | avere
 fuggire     | ire  | essere
 inseguire   | ire  | avere
 inserire    | ire  | avere
 mentire     | ire  | avere
 nutrire     | ire  | avere
 offrire     | ire  | avere
 partire     | ire  | essere
 restituire  | ire  | avere
 salire      | ire  | essere
 scoprire    | ire  | avere
 seguire     | ire  | avere
 sentire     | ire  | avere
 servire     | ire  | avere
 soffrire    | ire  | avere
 vestire     | ire  | avere
(76 rows)

